선수,팀,게임수,타석,타수,득점,안타,2루타,3루타,홈런,타점
이정후,넥센,80,381,336,61,124,27,1,5,43
양의지,두산,106,401,351,69,129,25,1,20,66
안치홍,KIA,93,391,358,66,129,28,1,19,87
김현수,LG,113,493,436,88,156,35,2,19,95
김재환,두산,108,477,417,81,144,32,1,33,97
구자욱,삼성,85,387,350,76,120,19,5,12,64
채은성,LG,109,452,412,63,141,29,2,20,94
오재원,두산,102,406,369,63,126,18,1,14,66
박병호,넥센,85,365,297,61,101,13,0,32,88
전준우,롯데,108,443,403,79,137,26,2,20,57
손아섭,롯데,108,481,430,87,146,27,4,20,71
김주찬,KIA,90,352,322,54,109,18,0,14,66
이대호,롯데,108,448,398,61,133,24,0,26,86
노수광,SK,108,461,403,76,134,16,7,6,42
이재원,SK,99,354,303,44,100,16,0,14,42
최형우,KIA,106,450,395,68,130,26,1,18,68
호잉,한화,110,453,405,70,133,38,2,26,95
러프,삼성,113,491,418,76,137,30,4,23,94
최주환,두산,106,453,398,68,130,28,6,19,82
로맥,SK,106,460,396,77,129,15,0,36,85
허경민,두산,101,426,383,64,124,23,4,7,53
나성범,NC,113,483,434,83,140,26,2,19,64
김헌곤,삼성,111,480,420,64,135,22,2,10,66
박건우,두산,100,421,387,59,123,21,6,8,59
이형종,LG,90,390,353,66,112,21,0,10,34
버나디나,KIA,95,418,365,77,115,13,3,19,54
이원석,삼성,105,441,387,64,121,27,0,16,73
김재호,두산,102,352,304,58,95,15,0,13,57
로하스,KT,110,490,434,81,135,27,1,31,83
민병헌,롯데,82,341,303,52,94,16,0,12,43
